İlanNo,SonGuncellemeTarihi,ilce_pamukkale,ilce_merkezefendi,konut_tipi,toplam_oda,brutm2,netm2,bul_kat,bina_yas,isinma_belirtilmeyen,isinma_dogalgazsoba,isinma_yok,isinma_jeo ,isinma_katkalo,isinma_klima,isinma_kombi,isinma_merkezi,isinma_merkezipay,isinma_soba,isinma_yerden,bina_kat,kredi_bilinmiyor,kredi_uygun,kredi_uygundegil,esya_bilinmiyor,esya_var,esya_yok,toplam_banyo,yapi_ikinci,yapi_sifir,takas_bilinmiyor,takas_evet,takas_hayır,SatisFiyati,tapu_arsa,tapu_katirt,tapu_katmul,tapu_bos,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati,cephe_bos
137549-877,9.03.2024,0,1,1,3,115,110,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,0,1,2230000,0,1,0,0,0,0,0,0,1
140093-464,27.04.2024,0,1,1,3,60,50,4,8,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1280000,0,1,0,0,0,0,0,0,1
129683-424,9.05.2024,0,1,1,2,70,65,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,1,0,1,1,0,0,2500000,0,0,0,1,0,0,0,0,1
69820-955,7.05.2024,0,1,1,5,220,200,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,2,0,1,0,1,0,6500000,0,0,1,0,0,0,0,0,1
121464-919,5.03.2024,0,1,1,4,165,155,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,2,0,1,0,0,1,4000000,0,0,0,1,0,0,0,0,1
121853-1352,6.05.2024,0,1,1,3,120,115,2,4,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,2500000,0,1,0,0,0,0,0,0,1
135046-2047,18.04.2024,0,1,1,3,120,110,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,1775000,0,0,0,1,0,0,0,0,1
91390-1011,25.03.2024,0,1,1,4,175,160,3,23,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,1,3250000,0,0,1,0,0,0,0,0,1
139845-537,21.03.2024,0,1,1,4,150,140,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,2600000,0,0,0,1,0,0,0,0,1
135972-135,22.03.2024,0,1,1,3,115,95,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,0,1,0,1,0,2000000,0,0,1,0,1,1,1,1,0
