İlanNo,SonGuncellemeTarihi,ilce_pamukkale,ilce_merkezefendi,konut_tipi,toplam_oda,brutm2,netm2,bul_kat,bina_yas,isinma_belirtilmeyen,isinma_dogalgazsoba,isinma_yok,isinma_jeo ,isinma_katkalo,isinma_klima,isinma_kombi,isinma_merkezi,isinma_merkezipay,isinma_soba,isinma_yerden,bina_kat,kredi_bilinmiyor,kredi_uygun,kredi_uygundegil,esya_bilinmiyor,esya_var,esya_yok,toplam_banyo,yapi_ikinci,yapi_sifir,takas_bilinmiyor,takas_evet,takas_hayır,SatisFiyati,tapu_arsa,tapu_katirt,tapu_katmul,tapu_bos,cephe_kuzey,cephe_guney,cephe_dogu,cephe_bati,cephe_bos
137837-312,17.04.2024,1,0,1,1,32,28,-1,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,0,1,0,670000,0,0,0,1,0,0,0,0,1
140093-627,11.05.2024,1,0,1,3,100,90,2,4,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,0,1,1975000,0,1,0,0,1,0,1,0,0
0-42650165,15.05.2024,1,0,1,4,125,110,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,1,0,0,3100000,0,0,1,0,0,0,0,0,1
102131-32041,14.05.2024,1,0,1,4,160,150,6,30,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,1,1,0,0,1,0,2399000,0,0,1,0,1,1,1,1,0
131521-312,15.05.2024,1,0,1,2,40,35,0,7,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,0,0,1,999000,0,1,0,0,1,1,1,1,0
135386-159,15.05.2024,1,0,1,3,100,95,5,5,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,3700000,0,1,0,0,1,1,1,1,0
135972-99,15.05.2024,1,0,1,3,115,90,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1890000,0,0,1,0,1,1,1,1,0
102793-2411,15.05.2024,1,0,1,3,160,140,1,30,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,2100000,0,1,0,0,0,1,0,0,0
134506-319,14.05.2024,1,0,1,3,80,75,2,10,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,0,1,1550000,0,0,0,1,1,1,0,1,0
135972-79,15.05.2024,1,0,1,4,160,140,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,0,1,0,1,0,2700000,0,0,1,0,1,1,1,1,0
135386-161,15.05.2024,1,0,1,3,85,80,3,10,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,1,0,1990000,0,1,0,0,1,1,1,1,0
131521-305,15.05.2024,1,0,1,3,115,100,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,1,0,2400000,0,0,0,1,0,0,0,0,1
135972-113,15.05.2024,1,0,1,4,150,110,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,2500000,0,0,1,0,1,1,1,1,0
137257-708,15.05.2024,1,0,1,4,165,155,0,12,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,1,0,0,0,1,3350000,0,0,0,1,0,0,0,0,1
132781-604,15.05.2024,1,0,1,2,40,35,0,5,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,1,0,1,0,1,1,0,0,975000,0,1,0,0,0,0,0,0,1
96407-219,15.05.2024,1,0,1,7,305,300,6,12,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,2,1,0,1,0,0,3300000,0,0,0,1,0,0,0,0,1
132781-553,15.05.2024,1,0,1,2,59,58,3,11,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,1,0,1,1,0,0,1,0,1310000,0,0,0,1,0,0,0,0,1
119283-1307,15.05.2024,1,0,1,3,100,95,13,15,0,0,0,0,0,0,1,0,0,0,0,13,0,1,0,0,0,1,1,1,0,0,0,1,1340000,0,0,1,0,1,1,1,1,0
128169-374,15.05.2024,1,0,1,1,25,15,1,20,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,1,0,750000,0,1,0,0,0,0,1,0,0
96407-283,15.05.2024,1,0,1,3,130,125,4,30,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,1,1,1,0,1,0,0,1450000,0,0,0,1,0,0,0,0,1
129038-186,15.05.2024,1,0,1,2,41,40,4,7,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1150000,0,0,1,0,1,1,1,1,0
132237-590,14.05.2024,1,0,1,6,195,185,4,16,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,1,0,0,1,0,2300000,0,0,1,0,0,1,1,0,0
142596-140,14.05.2024,1,0,1,3,120,110,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1999999,0,0,1,0,0,0,0,0,1
0-42645830,14.05.2024,1,0,1,2,70,65,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,1,1,0,0,1,0,2250000,0,1,0,0,0,0,1,0,0
113603-42,13.05.2024,1,0,1,3,120,115,4,28,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,2250000,0,0,1,0,1,1,1,1,0
135046-2129,10.05.2024,1,0,1,4,150,145,2,35,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,1,0,0,1900000,0,0,0,1,0,0,0,0,1
137449-294,13.05.2024,1,0,1,4,160,145,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,0,1,0,1,0,5495000,0,1,0,0,1,1,1,1,0
128687-713,9.05.2024,1,0,1,4,160,140,2,26,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,3468000,0,0,1,0,1,1,0,1,0
131207-148,9.05.2024,1,0,1,5,220,210,3,5,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,3,1,0,0,0,1,4500000,0,0,1,0,0,0,0,0,1
133343-424,13.05.2024,1,0,1,5,200,180,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,2,0,1,0,1,0,6950000,0,0,0,1,0,0,0,0,1
82422-241,9.05.2024,1,0,1,2,53,50,2,5,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,1,0,1249000,0,0,1,0,1,1,1,1,0
140297-10,14.05.2024,1,0,1,4,130,120,5,35,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,1,1,1,0,0,0,1,1175000,1,0,0,0,1,0,0,0,0
98862-88,10.05.2024,1,0,1,4,120,110,2,25,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,0,1,0,1,0,5000000,0,0,1,0,0,1,0,0,0
117504-1043,14.05.2024,1,0,1,4,148,110,3,27,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,2250000,0,0,0,1,1,1,1,1,0
135196-6,14.05.2024,1,0,1,4,165,148,2,27,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,1,0,0,2300000,0,1,0,0,0,0,0,0,1
125019-308,13.05.2024,1,0,1,4,175,170,3,25,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,2750000,0,0,1,0,0,0,0,0,1
102131-32017,14.05.2024,1,0,1,5,170,160,3,12,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,2700000,0,0,1,0,1,1,1,1,0
135046-2125,10.05.2024,1,0,1,3,120,110,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,1,0,0,1850000,0,0,0,1,0,0,0,0,1
128687-712,9.05.2024,1,0,1,4,120,105,2,36,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,1799000,0,0,1,0,1,1,0,0,0
131207-142,9.05.2024,1,0,1,5,200,190,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,2,0,1,0,1,0,6500000,0,0,1,0,0,0,0,0,1
82422-240,9.05.2024,1,0,1,3,61,60,2,11,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,1,0,1550000,0,0,1,0,1,1,1,1,0
133343-392,9.05.2024,1,0,1,3,90,80,0,9,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,1,1,0,0,0,1,1800000,0,1,0,0,0,0,0,0,1
129038-271,10.05.2024,1,0,1,4,165,155,1,15,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,0,1,2900000,0,1,0,0,1,1,1,1,0
117504-736,9.05.2024,1,0,1,5,201,167,1,13,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,2,1,0,0,1,0,3290000,0,0,1,0,0,0,1,1,0
126156-549,14.05.2024,1,0,1,4,135,120,3,21,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,3500000,0,0,0,1,0,1,1,1,0
120415-590,14.05.2024,1,0,1,2,75,65,2,3,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,1109000,0,0,1,0,0,0,0,1,0
1408-2278,9.05.2024,1,0,1,3,120,100,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,3075000,0,0,1,0,0,1,1,0,0
102131-32012,14.05.2024,1,0,1,4,155,150,1,15,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,3000000,0,0,1,0,1,1,1,1,0
135046-2116,9.05.2024,1,0,1,3,140,135,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,1,0,0,1950000,0,0,0,1,0,0,0,0,1
132781-601,9.05.2024,1,0,1,3,115,110,-3,5,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,1,1,1,0,0,0,1,2500000,0,0,1,0,0,0,0,0,1
131521-310,10.05.2024,1,0,1,4,140,135,1,15,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,2,1,0,0,0,1,1750000,0,0,0,1,1,1,1,1,0
126156-553,14.05.2024,1,0,1,4,165,155,3,16,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,2,1,0,0,0,1,3350000,0,0,1,0,0,1,1,0,0
129038-325,13.05.2024,1,0,1,3,75,73,5,7,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,0,1,1425000,0,1,0,0,1,1,1,1,0
82422-247,14.05.2024,1,0,1,2,55,50,6,5,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,1,0,1,1,0,0,1,0,1449000,0,0,1,0,0,0,0,0,1
102131-31919,14.05.2024,1,0,1,2,50,45,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,1,0,1900000,0,0,1,0,1,1,1,1,0
132781-600,10.05.2024,1,0,1,4,140,130,2,15,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,1875000,0,0,1,0,0,0,0,0,1
135046-2115,9.05.2024,1,0,1,3,120,110,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,1,0,0,1800000,0,0,0,1,0,0,0,0,1
135972-149,11.05.2024,1,0,1,3,120,95,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,1650000,0,0,1,0,1,1,1,1,0
68295-730,15.05.2024,1,0,1,2,60,50,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,1575000,0,1,0,0,1,1,1,1,0
131207-137,9.05.2024,1,0,1,3,100,95,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,2750000,0,0,1,0,0,0,0,0,1
136930-115,15.05.2024,1,0,1,4,160,150,6,30,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,1,1,0,0,1,0,2399000,0,0,1,0,0,0,0,0,1
142360-32,14.05.2024,1,0,1,3,110,100,4,31,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,1,1,1,0,0,0,1,3300000,0,0,1,0,0,0,0,0,1
133521-88,13.05.2024,1,0,1,4,140,135,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,1,0,1,0,4000000,0,0,0,1,0,0,0,0,1
141810-64,10.05.2024,1,0,1,5,210,190,3,31,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,1,1,1,0,0,0,1,4750000,0,0,1,0,0,1,0,0,0
140030-67,10.05.2024,1,0,1,3,125,115,2,11,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,2550000,0,0,1,0,0,0,0,0,1
69820-975,10.05.2024,1,0,1,7,200,180,3,4,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,2,1,0,0,0,1,4050000,0,1,0,0,1,0,1,0,0
144552-9,9.05.2024,1,0,1,4,125,110,3,11,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,1,1,0,0,0,1,3349000,0,0,1,0,0,1,1,1,0
144186-43,14.05.2024,1,0,1,3,100,90,3,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,0,1,0,1550000,0,1,0,0,1,1,1,1,0
136159-535,13.05.2024,1,0,1,3,65,60,0,9,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,0,1,1590000,0,1,0,0,0,0,0,0,1
133179-115,15.05.2024,1,0,1,4,150,145,2,30,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,0,0,1,1750000,0,0,0,1,0,0,0,0,1
130837-915,13.05.2024,1,0,1,3,100,90,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,1,0,2000000,0,0,1,0,1,1,1,1,0
136579-15,13.05.2024,1,0,1,4,167,157,0,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,0,1,3600000,0,0,1,0,0,0,0,0,1
137304-205,15.05.2024,1,0,1,3,125,115,2,35,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,1,1,1,0,0,0,1,1449999,0,1,0,0,0,1,0,0,0
139845-449,14.05.2024,1,0,1,10,400,320,2,9,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,4,1,0,0,1,0,5400000,0,0,1,0,1,1,1,1,0
96407-219,15.05.2024,1,0,1,7,305,300,6,12,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,2,1,0,1,0,0,3300000,0,0,0,1,0,0,0,0,1
140093-632,15.05.2024,1,0,1,4,155,140,0,15,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,1,0,0,2600000,0,0,1,0,0,0,0,0,1
102131-31880,14.05.2024,1,0,1,4,135,130,3,28,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,1750000,0,0,1,0,1,1,1,1,0
135046-2114,9.05.2024,1,0,1,4,160,150,-1,15,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,1,0,0,1425000,0,0,0,1,0,0,0,0,1
132781-551,13.05.2024,1,0,1,2,50,48,0,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,1,0,0,1200000,0,0,0,1,0,0,0,0,1
135972-100,13.05.2024,1,0,1,3,115,100,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,0,1,0,1950000,0,0,1,0,1,1,1,1,0
49011-10804,15.05.2024,1,0,1,3,120,105,7,21,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,0,0,1,2050000,0,0,1,0,0,0,0,0,1
66974-423,15.05.2024,1,0,1,3,75,70,2,6,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,1,0,0,1900000,0,0,0,1,0,0,0,0,1
82422-239,9.05.2024,1,0,1,2,60,55,2,4,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,1,0,1375000,0,0,1,0,1,1,1,1,0
134619-285,12.05.2024,1,0,1,3,70,65,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,1280000,0,0,1,0,0,1,1,0,0
142360-31,11.05.2024,1,0,1,3,110,100,4,33,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,1,1,0,0,0,1,3300000,0,0,1,0,0,0,0,0,1
141810-63,10.05.2024,1,0,1,4,210,190,1,31,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,1,1,1,0,0,0,1,4950000,0,0,1,0,0,1,0,0,0
134506-387,14.05.2024,1,0,1,3,120,110,3,10,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,1609000,0,0,1,0,0,0,0,0,1
144186-42,14.05.2024,1,0,1,3,70,65,3,4,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,1,1,0,0,1,0,1750000,0,1,0,0,1,1,1,1,0
139845-411,14.05.2024,1,0,1,3,120,110,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,1900000,0,0,1,0,0,0,0,0,1
120415-587,15.05.2024,1,0,1,4,130,120,1,36,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,1450000,0,1,0,0,0,0,0,0,1
129038-361,15.05.2024,1,0,1,3,70,65,0,7,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,1,0,1,0,0,1,1275000,0,0,1,0,1,1,1,1,0
130837-962,13.05.2024,1,0,1,2,50,45,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,1,0,1500000,0,0,1,0,1,1,1,1,0
141140-123,15.05.2024,1,0,1,2,55,54,4,6,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,1,0,1,0,1,0,1,0,1390000,0,0,1,0,0,1,0,0,0
137837-384,15.05.2024,1,0,1,2,55,45,3,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,1,0,0,1099000,0,0,0,1,0,0,0,0,1
15694-3555,13.05.2024,1,0,1,4,140,130,2,35,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,2000000,0,0,1,0,0,1,1,0,0
102131-31876,14.05.2024,1,0,1,4,160,147,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,5090000,0,0,1,0,1,1,1,1,0
135046-2066,13.05.2024,1,0,1,3,120,110,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1750000,0,0,0,1,0,0,0,0,1
135972-95,11.05.2024,1,0,1,4,140,120,3,15,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,1,1,0,0,1,0,1700000,0,0,1,0,1,1,1,1,0
118042-687,13.05.2024,1,0,1,3,100,85,3,30,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,1200000,0,0,1,0,1,1,0,0,0
136930-109,15.05.2024,1,0,1,3,70,60,0,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1,1,0,0,0,1,1450000,0,0,1,0,1,0,1,0,0
126113-367,13.05.2024,1,0,1,3,105,100,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,0,1,0,1,0,2350000,0,0,1,0,0,1,1,0,0
133343-437,9.05.2024,1,0,1,5,220,210,2,12,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,5100000,0,0,0,1,0,0,0,0,1
144186-35,14.05.2024,1,0,1,3,70,65,2,5,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1600000,0,1,0,0,1,1,1,1,0
49011-10806,15.05.2024,1,0,1,5,175,160,3,26,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,2250000,0,0,1,0,0,0,0,0,1
82422-236,9.05.2024,1,0,1,4,155,150,2,30,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,1900000,0,0,1,0,1,1,1,1,0
140093-633,15.05.2024,1,0,1,4,155,140,2,15,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,2650000,0,0,1,0,0,0,0,0,1
60626-1054,14.05.2024,1,0,1,3,110,105,0,35,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,1,1350000,0,0,1,0,0,0,1,1,0
96407-283,15.05.2024,1,0,1,3,130,125,4,30,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,1,1,1,0,1,0,0,1450000,0,0,0,1,0,0,0,0,1
102131-31846,14.05.2024,1,0,1,6,210,200,3,10,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,0,1,0,3290000,0,0,1,0,1,1,1,1,0
135046-2049,9.05.2024,1,0,1,3,120,110,2,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,1890000,0,0,0,1,0,0,0,0,1
135972-73,9.05.2024,1,0,1,4,147,130,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,5090000,0,0,1,0,1,1,1,1,0
4766-16032,15.05.2024,1,0,1,2,55,50,3,6,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,1,0,0,1099000,0,0,0,1,0,0,0,0,1
133343-436,10.05.2024,1,0,1,4,140,130,5,25,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,2000000,0,1,0,0,0,0,0,0,1
49011-10805,15.05.2024,1,0,1,4,150,135,2,11,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,2410000,0,0,1,0,0,0,0,0,1
126156-532,11.05.2024,1,0,1,4,165,155,2,17,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,2,1,0,0,0,1,3350000,0,0,1,0,0,1,1,0,0
102131-31744,15.05.2024,1,0,1,4,180,170,4,20,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,2750000,0,0,1,0,0,0,0,0,1
135972-65,9.05.2024,1,0,1,3,115,90,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,1950000,0,0,1,0,1,1,1,1,0
138559-99,7.05.2024,1,0,1,2,45,40,0,11,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1049000,0,0,1,0,0,0,0,0,1
133161-529,7.05.2024,1,0,1,6,220,190,7,15,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,2,1,0,0,1,0,3200000,0,0,0,1,0,0,0,0,1
113381-141,6.05.2024,1,0,1,2,63,60,4,10,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,1,0,1,1,0,0,1,0,1390000,0,0,0,1,0,0,0,0,1
139735-158,27.04.2024,1,0,1,2,65,60,1,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,1,0,1020000,0,0,1,0,0,1,0,0,0
144495-10,29.04.2024,1,0,1,6,240,220,-3,36,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,2,1,0,0,1,0,3400000,0,0,1,0,0,1,0,1,0
82424-93,2.05.2024,1,0,1,2,50,48,1,4,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,0,0,1,0,1375000,0,0,1,0,0,1,1,1,0
131665-113,9.05.2024,1,0,1,4,130,120,4,33,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,1,1,1,0,0,0,1,1600000,0,0,1,0,1,0,1,0,0
138322-147,17.04.2024,1,0,1,3,120,110,2,5,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,2500000,0,0,0,1,0,0,0,0,1
137436-130,6.05.2024,1,0,1,4,200,185,3,3,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,2,1,0,0,1,0,4750000,0,0,1,0,0,1,1,0,0
68295-724,15.05.2024,1,0,1,1,30,22,0,5,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,1,1,0,0,0,1,850000,0,0,1,0,0,0,0,0,1
111300-474,10.05.2024,1,0,1,3,100,95,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,1,0,2100000,0,0,1,0,0,0,1,0,0
113234-998,14.05.2024,1,0,1,3,120,110,2,9,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,1,1,0,0,0,1,2200000,0,0,1,0,1,1,1,1,0
96407-202,15.05.2024,1,0,1,3,133,130,5,26,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,1,1,1,0,1,0,0,1800000,0,0,0,1,0,0,0,0,1
132444-284,1.05.2024,1,0,1,2,55,45,2,4,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,1,1,0,0,0,1,1075000,0,0,1,0,1,1,1,1,0
138610-3,14.05.2024,1,0,1,3,70,65,2,8,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,1,2250000,0,0,0,1,0,0,0,0,1
102131-30731,15.05.2024,1,0,1,4,180,170,4,20,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,1,0,2750000,0,0,1,0,0,0,0,0,1
135972-59,9.05.2024,1,0,1,3,125,100,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,2350000,0,0,1,0,1,1,1,1,0
145068-2,13.05.2024,1,0,1,3,115,110,3,12,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,1,1799000,0,1,0,0,0,0,0,1,0
120415-548,13.05.2024,1,0,1,4,130,114,0,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,1,1,0,0,1,0,2445000,0,1,0,0,0,0,0,1,0
142596-139,14.05.2024,1,0,1,3,124,120,2,6,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0,1,0,2050000,0,0,1,0,0,0,0,0,1
140030-70,10.05.2024,1,0,1,4,160,150,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,1,0,1,0,1,0,2950000,0,0,1,0,0,0,0,0,1
