İlanNo,SonGuncellemeTarihi,Ilce,KonutTipi,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
130837-920,13/05/2024,Merkezefendi,Daire,2 + 1,115,100,3,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2600000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
125019-356,07/05/2024,Merkezefendi,Daire,3 + 1,185,175,0,11,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,3750000,Kat Mülkiyeti,"Güney, Doğu, Batı"
94398-5495,04/05/2024,Merkezefendi,Daire,4 + 1,185,180,3,0,Kombi,4,Uygun,Bilinmiyor,1,Sıfır,Bilinmiyor,7500000,,
126156-528,07/05/2024,Merkezefendi,Daire,3 + 1,165,145,2,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,4500000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
42634-2152,14/05/2024,Merkezefendi,Daire,2 + 1,130,120,2,9,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2200000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
145068-18,13/05/2024,Merkezefendi,Daire,2 + 1,110,100,3,7,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1699000,,
91390-1496,16/04/2024,Merkezefendi,Daire,3 + 1,150,130,2,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,3200000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
141326-17,18/04/2024,Merkezefendi,Daire,3 + 1,220,190,3,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Hayır,8000000,,"Kuzey, Güney, Doğu, Batı"
135046-2133,14/05/2024,Merkezefendi,Daire,2 + 1,120,110,0,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1675000,,
142596-132,10/05/2024,Merkezefendi,Daire,2 + 1,110,100,3,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1799000,Kat Mülkiyeti,
135972-74,13/05/2024,Merkezefendi,Daire,3 + 1,155,140,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,3300000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
139845-357,14/05/2024,Merkezefendi,Daire,2 + 1,130,120,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2350000,Kat Mülkiyeti,
64407-3510,13/05/2024,Merkezefendi,Daire,3 + 1,170,160,3,25,Kombi,4,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,2500000,,
128169-402,17/04/2024,Merkezefendi,Daire,4 + 1,200,190,5,2,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,İkinci El,Hayır,6350000,Kat İrtifakı,"Güney, Doğu"
126549-627,12/05/2024,Merkezefendi,Daire,5 + 1,170,150,2,10,Kombi,3,Uygun,Eşyalı Değil,2,İkinci El,Evet,3050000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
138559-88,20/04/2024,Merkezefendi,Daire,1 + 1,50,45,2,0,Yerden Isıtma,3,Uygun,Eşyalı,1,Sıfır,Evet,1349000,Kat Mülkiyeti,
121853-1479,07/05/2024,Merkezefendi,Daire,3 + 1,180,165,6,6,Kombi,8,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,5250000,Kat Mülkiyeti,
137449-286,06/05/2024,Merkezefendi,Daire,2 + 1,130,115,7,30,Merkezi,7,Uygun,Eşyalı Değil,1,İkinci El,Evet,2300000,Kat Mülkiyeti,"Kuzey, Güney, Doğu"
137304-288,15/05/2024,Merkezefendi,Daire,3 + 1,178,170,1,19,Kombi,2,Uygun,Eşyalı Değil,1,İkinci El,Hayır,4250000,Kat Mülkiyeti,Doğu
133343-425,23/04/2024,Merkezefendi,Daire,3 + 1,135,120,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,3550000,,
113131-47,20/04/2024,Merkezefendi,Daire,3 + 1,135,120,2,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2400000,Kat Mülkiyeti,"Güney, Batı"
138220-542,04/05/2024,Merkezefendi,Daire,2 + 1,134,115,2,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2750000,,"Güney, Doğu, Batı"
134506-332,08/05/2024,Merkezefendi,Daire,3 + 1,175,165,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
91580-1570,29/04/2024,Merkezefendi,Daire,3 + 1,171,140,2,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Bilinmiyor,4500000,Kat İrtifakı,
82424-13,12/05/2024,Merkezefendi,Daire,5 + 2,280,250,4,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,4750000,Kat Mülkiyeti,"Güney, Doğu, Batı"
141140-122,15/05/2024,Merkezefendi,Daire,2 + 1,65,64,2,4,Kombi,4,Uygun,Eşyalı,1,Sıfır,Evet,1675000,Arsa,Güney
135993-48,11/05/2024,Merkezefendi,Daire,3 + 1,140,130,1,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,3300000,Kat Mülkiyeti,Doğu
140093-623,09/05/2024,Merkezefendi,Daire,2 + 1,127,110,4,28,Kombi,4,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,1175000,,
144757-11,10/05/2024,Merkezefendi,Daire,3 + 1,180,160,4,0,Yerden Isıtma,8,Uygun,Eşyalı Değil,2,Sıfır,Hayır,5000000,Kat Mülkiyeti,
129038-359,01/05/2024,Merkezefendi,Daire,1 + 1,79,65,2,6,Kombi,2,Uygun,Eşyalı,1,Sıfır,Evet,1450000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
49011-10713,11/05/2024,Merkezefendi,Daire,3 + 1,150,140,2,5,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3900000,Kat Mülkiyeti,
137257-695,11/05/2024,Merkezefendi,Daire,3 + 1,120,115,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,3100000,Kat Mülkiyeti,
130837-917,13/05/2024,Merkezefendi,Daire,2 + 1,90,70,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2300000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
128687-704,29/04/2024,Merkezefendi,Daire,1 + 1,90,85,10,5,Merkezi (Pay Ölçer),29,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2600000,Kat Mülkiyeti,Doğu
126113-350,22/04/2024,Merkezefendi,Daire,3 + 1,135,125,3,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2290000,Kat İrtifakı,"Güney, Doğu, Batı"
133652-103,11/05/2024,Merkezefendi,Daire,2 + 1,110,100,0,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2050000,,
145068-14,13/05/2024,Merkezefendi,Daire,2 + 1,115,105,0,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2375000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
42634-2147,14/05/2024,Merkezefendi,Daire,2 + 1,110,100,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1750000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
60626-1058,06/05/2024,Merkezefendi,Daire,3 + 1,150,145,2,35,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1875000,Kat Mülkiyeti,"Doğu, Batı"
135046-2131,10/05/2024,Merkezefendi,Daire,2 + 1,120,110,4,25,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1275000,,
142596-129,09/05/2024,Merkezefendi,Daire,3 + 1,170,155,3,0,Kombi,5,Uygun,Eşyalı Değil,2,Sıfır,Evet,3300000,Kat Mülkiyeti,
135972-58,09/05/2024,Merkezefendi,Daire,3 + 1,155,135,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,3100000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
125019-353,29/04/2024,Merkezefendi,Daire,1 + 1,45,40,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,1500000,Kat Mülkiyeti,
91390-1505,19/04/2024,Merkezefendi,Daire,3 + 1,175,155,1,15,Merkezi,5,Uygun,Bilinmiyor,2,İkinci El,Bilinmiyor,4500000,Kat Mülkiyeti,
113234-994,16/04/2024,Merkezefendi,Daire,3 + 1,170,160,3,12,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3100000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
66974-387,11/05/2024,Merkezefendi,Daire,3 + 1,160,159,2,25,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1900000,,
133343-420,24/04/2024,Merkezefendi,Daire,3 + 1,170,160,1,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Bilinmiyor,5750000,,
113131-38,20/04/2024,Merkezefendi,Daire,3 + 1,140,130,0,3,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,2150000,Kat Mülkiyeti,"Güney, Doğu"
121853-1467,02/05/2024,Merkezefendi,Daire,2 + 1,115,110,2,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,2550000,Kat İrtifakı,
137304-265,15/05/2024,Merkezefendi,Daire,3 + 1,185,175,3,10,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2650000,Kat Mülkiyeti,Güney
138220-541,08/05/2024,Merkezefendi,Daire,2 + 1,115,105,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2500000,,"Kuzey, Güney, Doğu, Batı"
134506-320,06/05/2024,Merkezefendi,Daire,3 + 1,150,140,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3550000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
91580-1535,01/05/2024,Merkezefendi,Daire,3 + 1,130,125,4,0,Kombi,4,Uygun,Bilinmiyor,2,Sıfır,Evet,3000000,,"Kuzey, Güney, Doğu, Batı"
94398-5446,20/04/2024,Merkezefendi,Daire,2 + 1,90,85,3,0,Kombi,5,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2300000,Kat Mülkiyeti,
0-42597541,06/05/2024,Merkezefendi,Daire,2 + 1,110,90,0,1,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,2000000,Kat Mülkiyeti,Doğu
4766-15929,30/04/2024,Merkezefendi,Daire,2 + 1,135,130,1,15,Kombi,5,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,3100000,,
129683-565,10/05/2024,Merkezefendi,Daire,1 + 1,55,45,1,0,Yerden Isıtma,5,Uygun,Bilinmiyor,1,Sıfır,Bilinmiyor,1550000,,
144653-23,10/05/2024,Merkezefendi,Daire,3 + 1,150,145,2,1,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,4499000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
132069-158,01/05/2024,Merkezefendi,Daire,2 + 1,110,90,4,35,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1325000,Kat İrtifakı,"Güney, Doğu, Batı"
140093-606,06/05/2024,Merkezefendi,Daire,2 + 1,100,95,1,1,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2049000,Kat İrtifakı,
139845-667,14/05/2024,Merkezefendi,Daire,3 + 1,150,140,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,3100000,Kat Mülkiyeti,
137257-691,11/05/2024,Merkezefendi,Daire,3 + 1,170,160,2,0,Yerden Isıtma,5,Uygun,Eşyalı Değil,2,Sıfır,Hayır,5100000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
130837-500,14/05/2024,Merkezefendi,Daire,2 + 1,100,90,1,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1950000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
138559-89,20/04/2024,Merkezefendi,Daire,2 + 1,70,60,2,0,Yerden Isıtma,4,Uygun,Eşyalı,1,Sıfır,Evet,1599000,Kat Mülkiyeti,
126549-625,10/05/2024,Merkezefendi,Daire,3 + 1,128,125,1,3,Merkezi (Pay Ölçer),6,Uygun,Bilinmiyor,2,İkinci El,Bilinmiyor,2700000,,
42634-2138,14/05/2024,Merkezefendi,Daire,2 + 1,110,100,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2200000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
135046-2130,10/05/2024,Merkezefendi,Daire,2 + 1,125,120,0,2,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,2000000,,
142596-128,11/05/2024,Merkezefendi,Daire,2 + 1,110,95,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2100000,Kat Mülkiyeti,
89525-280,22/04/2024,Merkezefendi,Daire,1 + 1,55,45,2,0,Yerden Isıtma,3,Uygun,Eşyalı,1,Sıfır,Evet,1350000,Kat İrtifakı,"Kuzey, Doğu, Batı"
145068-17,13/05/2024,Merkezefendi,Daire,2 + 1,120,115,0,20,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1349000,,
137028-115,15/05/2024,Merkezefendi,Daire,2 + 1,100,90,0,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1699000,Kat İrtifakı,Güney
49011-10801,15/05/2024,Merkezefendi,Daire,2 + 1,125,110,0,2,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3600000,Kat Mülkiyeti,
