İlanNo,SonGuncellemeTarihi,Ilce,KonutTipi,OdaSayisi,BrutM2, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati,TapuDurumu,Cephe
137837-312,17/04/2024,Pamukkale,Daire,1 + 0,32,28,-1,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,670000,,
140093-627,11/05/2024,Pamukkale,Daire,2 + 1,100,90,2,4,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1975000,Kat İrtifakı,"Kuzey, Doğu"
0-42650165,15/05/2024,Pamukkale,Daire,3 + 1,125,110,3,3,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,3100000,Kat Mülkiyeti,
102131-32041,14/05/2024,Pamukkale,Daire,3 + 1,160,150,6,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,2399000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
131521-312,15/05/2024,Pamukkale,Daire,1 + 1,40,35,0,7,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Hayır,999000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
135386-159,15/05/2024,Pamukkale,Daire,2 + 1,100,95,5,5,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,3700000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
135972-99,15/05/2024,Pamukkale,Daire,2 + 1,115,90,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1890000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
102793-2411,15/05/2024,Pamukkale,Daire,2 + 1,160,140,1,30,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2100000,Kat İrtifakı,Güney
134506-319,14/05/2024,Pamukkale,Daire,2 + 1,80,75,2,10,Kombi,3,Uygun,Eşyalı,1,Sıfır,Hayır,1550000,,"Kuzey, Güney, Batı"
135972-79,15/05/2024,Pamukkale,Daire,3 + 1,160,140,4,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,2700000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135386-161,15/05/2024,Pamukkale,Daire,2 + 1,85,80,3,10,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1990000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
131521-305,15/05/2024,Pamukkale,Daire,2 + 1,115,100,0,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2400000,,
135972-113,15/05/2024,Pamukkale,Daire,3 + 1,150,110,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
137257-708,15/05/2024,Pamukkale,Daire,3 + 1,165,155,0,12,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000,,
132781-604,15/05/2024,Pamukkale,Daire,1 + 1,40,35,0,5,Kombi,5,Bilinmiyor,Eşyalı,1,Sıfır,Bilinmiyor,975000,Kat İrtifakı,
96407-219,15/05/2024,Pamukkale,Daire,6 + 1,305,300,6,12,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,3300000,,
132781-553,15/05/2024,Pamukkale,Daire,1 + 1,59,58,3,11,Kombi,6,Uygun,Eşyalı,1,İkinci El,Evet,1310000,,
119283-1307,15/05/2024,Pamukkale,Daire,2 + 1,100,95,13,15,Kombi,13,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1340000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
128169-374,15/05/2024,Pamukkale,Daire,1 + 0,25,15,1,20,Kombi,2,Uygun,Eşyalı,1,İkinci El,Evet,750000,Kat İrtifakı,Doğu
96407-283,15/05/2024,Pamukkale,Daire,2 + 1,130,125,4,30,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1450000,,
129038-186,15/05/2024,Pamukkale,Daire,1 + 1,41,40,4,7,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1150000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
132237-590,14/05/2024,Pamukkale,Daire,5 + 1,195,185,4,16,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,2300000,Kat Mülkiyeti,"Güney, Doğu"
142596-140,14/05/2024,Pamukkale,Daire,2 + 1,120,110,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1999999,Kat Mülkiyeti,
0-42645830,14/05/2024,Pamukkale,Daire,1 + 1,70,65,2,2,Merkezi (Pay Ölçer),2,Uygun,Eşyalı,1,İkinci El,Evet,2250000,Kat İrtifakı,Doğu
113603-42,13/05/2024,Pamukkale,Daire,2 + 1,120,115,4,28,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2250000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-2129,10/05/2024,Pamukkale,Daire,3 + 1,150,145,2,35,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1900000,,
137449-294,13/05/2024,Pamukkale,Daire,3 + 1,160,145,2,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,5495000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
128687-713,09/05/2024,Pamukkale,Daire,3 + 1,160,140,2,26,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,3468000,Kat Mülkiyeti,"Kuzey, Güney, Batı"
131207-148,09/05/2024,Pamukkale,Daire,4 + 1,220,210,3,5,Kombi,4,Uygun,Eşyalı Değil,3,İkinci El,Hayır,4500000,Kat Mülkiyeti,
133343-424,13/05/2024,Pamukkale,Daire,4 + 1,200,180,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,6950000,,
82422-241,09/05/2024,Pamukkale,Daire,1 + 1,53,50,2,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1249000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
140297-10,14/05/2024,Pamukkale,Daire,3 + 1,130,120,5,35,Kombi,5,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,1175000,Arsa,Kuzey
98862-88,10/05/2024,Pamukkale,Daire,3 + 1,120,110,2,25,Kombi,4,Uygun,Eşyalı,1,Sıfır,Evet,5000000,Kat Mülkiyeti,Güney
117504-1043,14/05/2024,Pamukkale,Daire,3 + 1,148,110,3,27,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2250000,,"Kuzey, Güney, Doğu, Batı"
135196-6,14/05/2024,Pamukkale,Daire,3 + 1,165,148,2,27,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2300000,Kat İrtifakı,
125019-308,13/05/2024,Pamukkale,Daire,3 + 1,175,170,3,25,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000,Kat Mülkiyeti,
102131-32017,14/05/2024,Pamukkale,Daire,4 + 1,170,160,3,12,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2700000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-2125,10/05/2024,Pamukkale,Daire,2 + 1,120,110,0,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1850000,,
128687-712,09/05/2024,Pamukkale,Daire,3 + 1,120,105,2,36,Merkezi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,1799000,Kat Mülkiyeti,"Kuzey, Güney"
131207-142,09/05/2024,Pamukkale,Daire,4 + 1,200,190,2,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Evet,6500000,Kat Mülkiyeti,
82422-240,09/05/2024,Pamukkale,Daire,2 + 1,61,60,2,11,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1550000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
133343-392,09/05/2024,Pamukkale,Daire,2 + 1,90,80,0,9,Yerden Isıtma,3,Uygun,Bilinmiyor,1,İkinci El,Hayır,1800000,Kat İrtifakı,
129038-271,10/05/2024,Pamukkale,Daire,3 + 1,165,155,1,15,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2900000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
117504-736,09/05/2024,Pamukkale,Daire,4 + 1,201,167,1,13,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,3290000,Kat Mülkiyeti,"Doğu, Batı"
126156-549,14/05/2024,Pamukkale,Daire,3 + 1,135,120,3,21,Kat Kaloriferi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3500000,,"Güney, Doğu, Batı"
120415-590,14/05/2024,Pamukkale,Daire,1 + 1,75,65,2,3,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1109000,Kat Mülkiyeti,Batı
1408-2278,09/05/2024,Pamukkale,Daire,2 + 1,120,100,2,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3075000,Kat Mülkiyeti,"Güney, Doğu"
102131-32012,14/05/2024,Pamukkale,Daire,3 + 1,155,150,1,15,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,3000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-2116,09/05/2024,Pamukkale,Daire,2 + 1,140,135,2,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1950000,,
132781-601,09/05/2024,Pamukkale,Daire,2 + 1,115,110,-3,5,Merkezi,4,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,2500000,Kat Mülkiyeti,
131521-310,10/05/2024,Pamukkale,Daire,3 + 1,140,135,1,15,Kombi,5,Uygun,Eşyalı Değil,2,İkinci El,Hayır,1750000,,"Kuzey, Güney, Doğu, Batı"
126156-553,14/05/2024,Pamukkale,Daire,3 + 1,165,155,3,16,Kat Kaloriferi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000,Kat Mülkiyeti,"Güney, Doğu"
129038-325,13/05/2024,Pamukkale,Daire,2 + 1,75,73,5,7,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1425000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
82422-247,14/05/2024,Pamukkale,Daire,1 + 1,55,50,6,5,Yerden Isıtma,7,Uygun,Eşyalı,1,İkinci El,Evet,1449000,Kat Mülkiyeti,
102131-31919,14/05/2024,Pamukkale,Daire,1 + 1,50,45,2,0,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1900000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
132781-600,10/05/2024,Pamukkale,Daire,3 + 1,140,130,2,15,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1875000,Kat Mülkiyeti,
135046-2115,09/05/2024,Pamukkale,Daire,2 + 1,120,110,0,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Bilinmiyor,1800000,,
135972-149,11/05/2024,Pamukkale,Daire,2 + 1,120,95,2,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1650000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
68295-730,15/05/2024,Pamukkale,Daire,1 + 1,60,50,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1575000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
131207-137,09/05/2024,Pamukkale,Daire,2 + 1,100,95,2,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000,Kat Mülkiyeti,
136930-115,15/05/2024,Pamukkale,Daire,3 + 1,160,150,6,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,2399000,Kat Mülkiyeti,
142360-32,14/05/2024,Pamukkale,Daire,2 + 1,110,100,4,31,Kombi,6,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,3300000,Kat Mülkiyeti,
133521-88,13/05/2024,Pamukkale,Daire,3 + 1,140,135,2,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,4000000,,
141810-64,10/05/2024,Pamukkale,Daire,4 + 1,210,190,3,31,Kombi,5,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,4750000,Kat Mülkiyeti,Güney
140030-67,10/05/2024,Pamukkale,Daire,2 + 1,125,115,2,11,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,2550000,Kat Mülkiyeti,
69820-975,10/05/2024,Pamukkale,Daire,5 + 2,200,180,3,4,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,İkinci El,Hayır,4050000,Kat İrtifakı,"Kuzey, Doğu"
144552-9,09/05/2024,Pamukkale,Daire,3 + 1,125,110,3,11,Kombi,3,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,3349000,Kat Mülkiyeti,"Güney, Doğu, Batı"
144186-43,14/05/2024,Pamukkale,Daire,2 + 1,100,90,3,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,1550000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
136159-535,13/05/2024,Pamukkale,Daire,2 + 1,65,60,0,9,Kombi,2,Uygun,Eşyalı,1,İkinci El,Hayır,1590000,Kat İrtifakı,
133179-115,15/05/2024,Pamukkale,Daire,3 + 1,150,145,2,30,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1750000,,
130837-915,13/05/2024,Pamukkale,Daire,2 + 1,100,90,2,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2000000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
136579-15,13/05/2024,Pamukkale,Daire,3 + 1,167,157,0,6,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3600000,Kat Mülkiyeti,
137304-205,15/05/2024,Pamukkale,Daire,2 + 1,125,115,2,35,Klima,8,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,1449999,Kat İrtifakı,Güney
139845-449,14/05/2024,Pamukkale,Daire,8 + 2,400,320,2,9,Kombi,4,Uygun,Eşyalı Değil,4,İkinci El,Evet,5400000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
96407-219,15/05/2024,Pamukkale,Daire,6 + 1,305,300,6,12,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,3300000,,
140093-632,15/05/2024,Pamukkale,Daire,3 + 1,155,140,0,15,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2600000,Kat Mülkiyeti,
102131-31880,14/05/2024,Pamukkale,Daire,3 + 1,135,130,3,28,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1750000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-2114,09/05/2024,Pamukkale,Daire,3 + 1,160,150,-1,15,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1425000,,
132781-551,13/05/2024,Pamukkale,Daire,1 + 1,50,48,0,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1200000,,
135972-100,13/05/2024,Pamukkale,Daire,2 + 1,115,100,2,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1950000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
49011-10804,15/05/2024,Pamukkale,Daire,2 + 1,120,105,7,21,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2050000,Kat Mülkiyeti,
66974-423,15/05/2024,Pamukkale,Daire,2 + 1,75,70,2,6,Kombi,2,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1900000,,
82422-239,09/05/2024,Pamukkale,Daire,1 + 1,60,55,2,4,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1375000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
134619-285,12/05/2024,Pamukkale,Daire,2 + 1,70,65,2,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1280000,Kat Mülkiyeti,"Güney, Doğu"
142360-31,11/05/2024,Pamukkale,Daire,2 + 1,110,100,4,33,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3300000,Kat Mülkiyeti,
141810-63,10/05/2024,Pamukkale,Daire,3 + 1,210,190,1,31,Kombi,5,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,4950000,Kat Mülkiyeti,Güney
134506-387,14/05/2024,Pamukkale,Daire,2 + 1,120,110,3,10,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1609000,Kat Mülkiyeti,
144186-42,14/05/2024,Pamukkale,Daire,2 + 1,70,65,3,4,Merkezi (Pay Ölçer),3,Uygun,Eşyalı,1,İkinci El,Evet,1750000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
139845-411,14/05/2024,Pamukkale,Daire,2 + 1,120,110,2,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1900000,Kat Mülkiyeti,
120415-587,15/05/2024,Pamukkale,Daire,3 + 1,130,120,1,36,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1450000,Kat İrtifakı,
129038-361,15/05/2024,Pamukkale,Daire,2 + 1,70,65,0,7,Merkezi,4,Bilinmiyor,Eşyalı,1,Sıfır,Hayır,1275000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
130837-962,13/05/2024,Pamukkale,Daire,1 + 1,50,45,2,2,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1500000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
141140-123,15/05/2024,Pamukkale,Daire,1 + 1,55,54,4,6,Kombi,7,Uygun,Eşyalı,1,Sıfır,Evet,1390000,Kat Mülkiyeti,Güney
137837-384,15/05/2024,Pamukkale,Daire,1 + 1,55,45,3,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1099000,,
15694-3555,13/05/2024,Pamukkale,Daire,3 + 1,140,130,2,35,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2000000,Kat Mülkiyeti,"Güney, Doğu"
102131-31876,14/05/2024,Pamukkale,Daire,3 + 1,160,147,2,0,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,5090000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-2066,13/05/2024,Pamukkale,Daire,2 + 1,120,110,0,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1750000,,
135972-95,11/05/2024,Pamukkale,Daire,3 + 1,140,120,3,15,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,1700000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
118042-687,13/05/2024,Pamukkale,Daire,2 + 1,100,85,3,30,Klima,3,Uygun,Eşyalı,1,İkinci El,Hayır,1200000,Kat Mülkiyeti,"Kuzey, Güney"
136930-109,15/05/2024,Pamukkale,Daire,2 + 1,70,60,0,3,Kombi,3,Uygun değil,Eşyalı,1,İkinci El,Hayır,1450000,Kat Mülkiyeti,"Kuzey, Doğu"
126113-367,13/05/2024,Pamukkale,Daire,2 + 1,105,100,1,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2350000,Kat Mülkiyeti,"Güney, Doğu"
133343-437,09/05/2024,Pamukkale,Daire,4 + 1,220,210,2,12,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,5100000,,
144186-35,14/05/2024,Pamukkale,Daire,2 + 1,70,65,2,5,Kat Kaloriferi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1600000,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı"
49011-10806,15/05/2024,Pamukkale,Daire,4 + 1,175,160,3,26,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2250000,Kat Mülkiyeti,
82422-236,09/05/2024,Pamukkale,Daire,3 + 1,155,150,2,30,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1900000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
140093-633,15/05/2024,Pamukkale,Daire,3 + 1,155,140,2,15,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2650000,Kat Mülkiyeti,
60626-1054,14/05/2024,Pamukkale,Daire,2 + 1,110,105,0,35,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1350000,Kat Mülkiyeti,"Doğu, Batı"
96407-283,15/05/2024,Pamukkale,Daire,2 + 1,130,125,4,30,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1450000,,
102131-31846,14/05/2024,Pamukkale,Daire,5 + 1,210,200,3,10,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,3290000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
135046-2049,09/05/2024,Pamukkale,Daire,2 + 1,120,110,2,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1890000,,
135972-73,09/05/2024,Pamukkale,Daire,3 + 1,147,130,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,5090000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
4766-16032,15/05/2024,Pamukkale,Daire,1 + 1,55,50,3,6,Kombi,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1099000,,
133343-436,10/05/2024,Pamukkale,Daire,3 + 1,140,130,5,25,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2000000,Kat İrtifakı,
49011-10805,15/05/2024,Pamukkale,Daire,3 + 1,150,135,2,11,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2410000,Kat Mülkiyeti,
126156-532,11/05/2024,Pamukkale,Daire,3 + 1,165,155,2,17,Kat Kaloriferi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000,Kat Mülkiyeti,"Güney, Doğu"
102131-31744,15/05/2024,Pamukkale,Daire,3 + 1,180,170,4,20,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000,Kat Mülkiyeti,
135972-65,09/05/2024,Pamukkale,Daire,2 + 1,115,90,2,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1950000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
138559-99,07/05/2024,Pamukkale,Daire,1 + 1,45,40,0,11,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1049000,Kat Mülkiyeti,
133161-529,07/05/2024,Pamukkale,Daire,5 + 1,220,190,7,15,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Evet,3200000,,
113381-141,06/05/2024,Pamukkale,Daire,1 + 1,63,60,4,10,Kombi,7,Uygun,Eşyalı,1,İkinci El,Evet,1390000,,
139735-158,27/04/2024,Pamukkale,Daire,1 + 1,65,60,1,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1020000,Kat Mülkiyeti,Güney
144495-10,29/04/2024,Pamukkale,Daire,5 + 1,240,220,-3,36,Merkezi,3,Uygun,Eşyalı Değil,2,İkinci El,Evet,3400000,Kat Mülkiyeti,"Güney, Batı"
82424-93,02/05/2024,Pamukkale,Daire,1 + 1,50,48,1,4,Kombi,2,Uygun,Eşyalı,1,İkinci El,Evet,1375000,Kat Mülkiyeti,"Güney, Doğu, Batı"
131665-113,09/05/2024,Pamukkale,Daire,3 + 1,130,120,4,33,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1600000,Kat Mülkiyeti,"Kuzey, Doğu"
138322-147,17/04/2024,Pamukkale,Daire,2 + 1,120,110,2,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2500000,,
137436-130,06/05/2024,Pamukkale,Daire,3 + 1,200,185,3,3,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,4750000,Kat Mülkiyeti,"Güney, Doğu"
68295-724,15/05/2024,Pamukkale,Daire,1 + 0,30,22,0,5,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Hayır,850000,Kat Mülkiyeti,
111300-474,10/05/2024,Pamukkale,Daire,2 + 1,100,95,0,1,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,2100000,Kat Mülkiyeti,Doğu
113234-998,14/05/2024,Pamukkale,Daire,2 + 1,120,110,2,9,Kombi,4,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,2200000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
96407-202,15/05/2024,Pamukkale,Daire,2 + 1,133,130,5,26,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1800000,,
132444-284,01/05/2024,Pamukkale,Daire,1 + 1,55,45,2,4,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1075000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
138610-3,14/05/2024,Pamukkale,Daire,2 + 1,70,65,2,8,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,2250000,,
102131-30731,15/05/2024,Pamukkale,Daire,3 + 1,180,170,4,20,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000,Kat Mülkiyeti,
135972-59,09/05/2024,Pamukkale,Daire,2 + 1,125,100,4,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2350000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
145068-2,13/05/2024,Pamukkale,Daire,2 + 1,115,110,3,12,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1799000,Kat İrtifakı,Batı
120415-548,13/05/2024,Pamukkale,Daire,3 + 1,130,114,0,6,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2445000,Kat İrtifakı,Batı
142596-139,14/05/2024,Pamukkale,Daire,2 + 1,124,120,2,6,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2050000,Kat Mülkiyeti,
140030-70,10/05/2024,Pamukkale,Daire,3 + 1,160,150,0,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2950000,Kat Mülkiyeti,
137449-290,07/05/2024,Pamukkale,Daire,3 + 1,144,135,2,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,4500000,Kat İrtifakı,"Güney, Doğu, Batı"
137304-297,15/05/2024,Pamukkale,Daire,5 + 2,210,200,4,13,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2750000,Kat Mülkiyeti,Güney
138559-97,06/05/2024,Pamukkale,Daire,2 + 1,100,90,1,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2350000,Kat Mülkiyeti,
133161-511,26/04/2024,Pamukkale,Daire,3 + 1,150,140,2,16,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2480000,,
118042-649,28/04/2024,Pamukkale,Daire,3 + 1,200,173,2,17,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,3650000,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı"
132237-546,06/05/2024,Pamukkale,Daire,3 + 1,170,100,1,31,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1425000,Kat Mülkiyeti,"Güney, Doğu"
144552-6,11/05/2024,Pamukkale,Daire,2 + 1,60,50,1,2,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,2299000,Kat İrtifakı,Güney
